,image,description,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
22,https://www.wga.hu/detail/a/abadie/sacreco3.jpg,['\r\nThe photo shows the cupola from inside.\r\n\r\n\n'],"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Interior view,1875-1919,Photo,"Sacré-Coeur, Paris",architecture,religious,French,1851-1900,The photo shows the cupola from inside.
51,https://www.wga.hu/detail/a/abildgaa/culmingh.jpg,['\r\nThe subject is taken from the Songs of Ossian.\r\n\r\n\n'],"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",Culmin's Ghost Appears to his Mother,c. 1794,"Oil on canvas, 62 x 78 cm","Nationalmuseum, Stockholm",painting,other,Danish,1751-1800,The subject is taken from the Songs of Ossian.
206,https://www.wga.hu/detail/a/agostin/1rimini/5zodia01.jpg,['\r\nThe picture shows the relief depicting Saturn.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Saturn.
208,https://www.wga.hu/detail/a/agostin/1rimini/5zodia03.jpg,['\r\nThe picture shows the relief depicting Mercury.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Mercury.
213,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac4.jpg,['\r\nThe picture shows the sign of Libra.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Libra.
214,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac5.jpg,['\r\nThe picture shows the sign of Sagittarius.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Sagittarius.
215,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac6.jpg,['\r\nThe picture shows the sign of Taurus.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Taurus.
216,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac7.jpg,['\r\nThe picture shows the sign of Virgin.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Virgin.
219,https://www.wga.hu/detail/a/agostin/1rimini/6liber02.jpg,['\r\nThe picture shows the relief depicting Ethics.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Ethics.
222,https://www.wga.hu/detail/a/agostin/1rimini/6liber05.jpg,['\r\nThe picture shows the relief depicting Philosophy.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Philosophy.
