,Unnamed: 0,image,description,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
0,22,https://www.wga.hu/detail/a/abadie/sacreco3.jpg,['\r\nThe photo shows the cupola from inside.\r\n\r\n\n'],"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Interior view,1875-1919,Photo,"Sacré-Coeur, Paris",architecture,religious,French,1851-1900,The photo shows the cupola from inside.
1,206,https://www.wga.hu/detail/a/agostin/1rimini/5zodia01.jpg,['\r\nThe picture shows the relief depicting Saturn.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Saturn.
2,208,https://www.wga.hu/detail/a/agostin/1rimini/5zodia03.jpg,['\r\nThe picture shows the relief depicting Mercury.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Mercury.
3,213,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac4.jpg,['\r\nThe picture shows the sign of Libra.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Libra.
4,214,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac5.jpg,['\r\nThe picture shows the sign of Sagittarius.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Sagittarius.
5,215,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac6.jpg,['\r\nThe picture shows the sign of Taurus.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Taurus.
6,216,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac7.jpg,['\r\nThe picture shows the sign of Virgin.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Virgin.
7,219,https://www.wga.hu/detail/a/agostin/1rimini/6liber02.jpg,['\r\nThe picture shows the relief depicting Ethics.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Ethics.
8,222,https://www.wga.hu/detail/a/agostin/1rimini/6liber05.jpg,['\r\nThe picture shows the relief depicting Philosophy.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Philosophy.
9,228,https://www.wga.hu/detail/a/agostin/1rimini/6libera1.jpg,['\r\nThe picture shows the Muse of Dance.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of Dance.
